date,image,đường trước nhà,số tầng,số phòng ngủ,số nhà vs,chỗ để xe,diện tích,kích thước,hướng nhà,giá,địa chỉ,quận,huyện
03/12/2020,/files/properties/2020/12/3/thumbnails/20201203_110639_616068_4.jpg,NULL,40,4,3,1,162, ---, Tây Nam,4948.0,"Đường Hồ Tùng Mậu, Phường Phú Diễn, Quận Bắc Từ Liêm, Hà Nội",Bắc Từ Liêm,Phường Phú Diễn
08/12/2020,/files/properties/2020/10/5/thumbnails/07063723-4827-ban-can-ho-chung-cu-ha-noi-gia-re.jpg,17.0,17,3,3,1,100, ---, Đông Nam,315007.0,"Đường Thép Mới, Phường Giang Biên, Quận Long Biên, Hà Nội",Long Biên,Phường Giang Biên
08/12/2020,/files/properties/2020/12/8/thumbnails/07505690-4905-ban-can-ho-chung-cu-quan-nam-tu-liem-chinh-chu.jpg,NULL,NULL,2,2,NULL,78, ---, _,1750.0,"Đường Lương Thế Vinh, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội",Nam Từ Liêm,Phường Mễ Trì
08/12/2020,/files/properties/2020/12/8/thumbnails/0ban-chung-cu-dep-hoan-thien-luong-the-vinh-80m2-gia-1-75-ty.jpg,NULL,NULL,2,1,NULL,78, ---, _,1750.0,"Đường Lương Thế Vinh, Phường Thanh Xuân Bắc, Quận Thanh Xuân, Hà Nội",Thanh Xuân,Phường Thanh Xuân Bắc
08/12/2020,/files/properties/2020/12/8/thumbnails/07506218-4250-ban-can-ho-chung-cu-ha-noi.jpg,NULL,NULL,2,2,NULL,78, ---, _,1750.0,"Đường Tố Hữu, Quận Hà Đông, Hà Nội",Quận Hà Đông,Đường Tố Hữu
08/12/2020,/files/properties/2020/12/8/thumbnails/20201208_031705_389433_0.jpg,NULL,25,2,2,NULL,71, ---, _,2500.0,"Phố Hồng Tiến, Phường Bồ Đề, Quận Long Biên, Hà Nội",Long Biên,Phường Bồ Đề
08/12/2020,/files/properties/2020/12/8/thumbnails/07507282-0426-ban-can-ho-chung-cu-ha-noi-gia-re.jpg,NULL,25,3,3,NULL,87, ---, _,3388.0,"Phố Hồng Tiến, Phường Bồ Đề, Quận Long Biên, Hà Nội",Long Biên,Phường Bồ Đề
08/12/2020,/files/properties/2020/12/1/thumbnails/20201201_114404_7456373_0.jpg,NULL,NULL,NULL,NULL,NULL,55, ---, _,1500.0,"Phố Cát Linh, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phố Cát Linh
08/12/2020,/files/properties/2020/11/30/thumbnails/20201130_094859_7332024_0.jpg,NULL,NULL,NULL,NULL,NULL,90, ---, _,3000.0,"Đường Nguyễn Chí Thanh, Phường Láng Hạ, Quận Đống Đa, Hà Nội",Đống Đa,Phường Láng Hạ
08/12/2020,/files/properties/2020/11/12/thumbnails/07324551-5608-ban-can-ho-chung-cu-ha-noi-gia-re.jpg,NULL,12,2,2,NULL,75, ---, _,1560.0,"Đường Lĩnh Nam, Phường Lĩnh Nam, Quận Hoàng Mai, Hà Nội",Hoàng Mai,Phường Lĩnh Nam
08/12/2020,/files/properties/2020/6/5/thumbnails/06292431-3738-ban-can-ho-chung-cu-quan-thanh-xuan.jpg,60.0,2,7,6,NULL,232, ---, _,8000.0,"Đường Lê Văn Lương, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",Thanh Xuân,Phường Nhân Chính
08/12/2020,/files/properties/2020/4/23/thumbnails/06065596-2029-ban-can-ho-chung-cu-quan-thanh-xuan.jpg,NULL,6,2,2,NULL,89, ---, Tây Nam,1780.0,"Đường Khuất Duy Tiến, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",Thanh Xuân,Phường Nhân Chính
08/12/2020,/files/properties/2020/12/2/thumbnails/07465456-5815-ban-can-ho-chung-cu-ha-noi-gia-re.jpg,NULL,14,2,1,NULL,65, ---, _,1250.0,"Đường Thanh Bình, Phường Vạn Phúc, Quận Hà Đông, Hà Nội",Hà Đông,Phường Vạn Phúc
08/12/2020,/files/properties/2020/11/23/thumbnails/20201123_115629_451887_0.jpg,30.0,15,3,2,1,94, 30x50m, Đông Nam,2300.0,"Đường Sài Đồng, Phường Sài Đồng, Quận Long Biên, Hà Nội",Long Biên,Phường Sài Đồng
08/12/2020,/files/properties/2020/12/8/thumbnails/07505704-5013-ban-can-ho-chung-cu-ha-noi-chinh-chu.jpg,NULL,25,3,3,NULL,103, ---, _,2595.0,"Đường Sài Đồng, Phường Sài Đồng, Quận Long Biên, Hà Nội",Long Biên,Phường Sài Đồng
08/12/2020,/files/properties/2020/12/5/thumbnails/0-chi-399tr-ban-chung-cu-gia-re-kham-thien-dong-da-so-hong-vao-o-ngay.jpg,NULL,5,1,0,NULL,21, ---, _,399.0,"Phố Chợ Khâm Thiên, Phường Khâm Thiên, Quận Đống Đa, Hà Nội",Đống Đa,Phường Khâm Thiên
