date,image,đường trước nhà,số tầng,số phòng ngủ,chỗ để xe,diện tích,kích thước,hướng nhà,giá,địa chỉ

04/10/2020,/files/properties/2020/10/3/thumbnails/0can-ban-chung-cu-dimaond-flower-le-van-luong-174m2-chia-3-ngu-noi-that-rat-dep.jpg,NULL,29 lầu,3 phòng ngủ,NULL, 174 m vuông, ---, _," 5,6 tỷ ","Đường Lê Văn Lương, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội"

04/10/2020,/files/properties/default.jpg,NULL,8 lầu,3 phòng ngủ,NULL, 115 m vuông, ---, _," 3,2 tỷ ","Đường Nguyễn Chí Thanh, Phường Láng Thượng, Quận Đống Đa, Hà Nội"

04/10/2020,/files/properties/default.jpg,NULL,9 lầu,2 phòng ngủ,NULL, 84 m vuông, ---, _, 30 triệu / m,"Phố Trung Kính, Phường Yên Hòa, Quận Cầu Giấy, Hà Nội"

04/10/2020,/files/properties/default.jpg,NULL,12 lầu,2 phòng ngủ,NULL, 79 m vuông, ---, _," 2,2 tỷ ","Đường Tố Hữu, Phường Dương Nội, Quận Hà Đông, Hà Nội"

04/10/2020,/files/properties/2020/10/3/thumbnails/07052339-3607-ban-can-ho-chung-cu-quan-nam-tu-liem.jpg,0m,NULL,NULL,NULL, 89 m vuông, ---, _," 1,95 tỷ ","Đường Phùng Khoang, Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội"

03/10/2020,/files/properties/2020/1/15/thumbnails/05719440-0559-ban-can-ho-chung-cu-ha-noi-chinh-chu.jpg,3m,5 lầu,2 phòng ngủ,NULL, 44 m vuông, 30x25m, Tây Nam, 630 triệu ,"Phố Hào Nam, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội"

03/10/2020,/files/properties/2020/10/3/thumbnails/07053182-2819-ban-can-ho-chung-cu-ha-noi.jpg,3m,8 lầu,2 phòng ngủ,chỗ để xe, 42 m vuông, 30x30m, Đông, 700 triệu ,"Đường Xuân Đỉnh, Phường Xuân Đỉnh, Quận Bắc Từ Liêm, Hà Nội"

03/10/2020,/files/properties/2020/10/3/thumbnails/07053170-2450-ban-can-ho-chung-cu-ha-noi-gia-re.jpg,3m,6 lầu,2 phòng ngủ,chỗ để xe, 43 m vuông, 30x30m, Đông, 700 triệu ,"Phố Nguyễn Đình Chiểu, Phường Lê Đại Hành, Quận Hai Bà Trưng, Hà Nội"

03/10/2020,/files/properties/2020/10/3/thumbnails/07053114-5950-ban-can-ho-chung-cu-quan-tay-ho-gia-re.jpg,8m,3 lầu,3 phòng ngủ,chỗ để xe, 220 m vuông, ---, _, 34 triệu / m,"Đường Xuân La, Phường Xuân La, Quận Tây Hồ, Hà Nội"

03/10/2020,/files/properties/default.jpg,NULL,11 lầu,2 phòng ngủ,NULL, 75 m vuông, ---, _," 2,45 tỷ ","Đường Tố Hữu, Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội"

